timestamp,src_ip,dst_ip,protocol,src_port,dst_port,length,payload_preview
14:45:47,192.168.1.36,206.206.82.201,TCP,63801,443,66,
14:45:48,192.168.1.36,224.0.0.251,UDP,5353,5353,77,
14:45:48,206.206.82.201,192.168.1.36,TCP,443,63801,54,
14:45:48,192.168.1.36,206.206.82.201,TCP,63801,443,66,
14:45:48,206.206.82.201,192.168.1.36,TCP,443,63801,54,
14:45:49,192.168.1.36,206.206.82.201,TCP,63801,443,66,
14:45:49,206.206.82.201,192.168.1.36,TCP,443,63801,54,
14:45:50,192.168.1.36,206.206.82.201,TCP,63801,443,66,
14:45:50,206.206.82.201,192.168.1.36,TCP,443,63801,54,
14:45:50,192.168.1.36,151.101.128.223,TCP,63802,443,66,
14:45:50,151.101.128.223,192.168.1.36,TCP,443,63802,66,
14:45:50,192.168.1.36,151.101.128.223,TCP,63802,443,54,
14:45:50,192.168.1.36,151.101.128.223,TCP,63802,443,251,...........j.....X_E..fV..W..8
14:45:50,151.101.128.223,192.168.1.36,TCP,443,63802,60,
14:45:50,151.101.128.223,192.168.1.36,TCP,443,63802,4410,....P...L..j.....L........#.5i
14:45:50,151.101.128.223,192.168.1.36,TCP,443,63802,432,.hM.(..<.x.L.......f.....B..x.
14:45:50,192.168.1.36,151.101.128.223,TCP,63802,443,54,
14:45:50,192.168.1.36,151.101.128.223,TCP,63802,443,147,....%...! ..b..\..o....{L..P.B
14:45:50,151.101.128.223,192.168.1.36,TCP,443,63802,60,
14:45:50,151.101.128.223,192.168.1.36,TCP,443,63802,312,...........Q....)x6....I\\....
14:45:50,192.168.1.36,151.101.128.223,TCP,63802,443,141,....R........CH.&T....(.+...Z:
14:45:50,192.168.1.36,151.101.128.223,TCP,63802,443,227,...............^......cSmr....
14:45:50,151.101.128.223,192.168.1.36,TCP,443,63802,312,...........Q....)x6....I\\....
14:45:50,151.101.128.223,192.168.1.36,TCP,443,63802,60,
14:45:50,192.168.1.36,151.101.128.223,TCP,63802,443,66,
14:45:50,151.101.128.223,192.168.1.36,TCP,443,63802,60,
14:45:50,151.101.128.223,192.168.1.36,TCP,443,63802,126,....C............`..H`NOF.'.~:
14:45:50,151.101.128.223,192.168.1.36,TCP,443,63802,8766,....s..........4hgG..P8 c...;.
14:45:50,192.168.1.36,151.101.128.223,TCP,63802,443,54,
14:45:50,192.168.1.36,151.101.128.223,TCP,63802,443,92,....!........1P.....O..aF.5XU.
14:45:50,151.101.128.223,192.168.1.36,TCP,443,63802,17478,.~.....Sd..W...J...y.w]q.e^~&.
14:45:50,192.168.1.36,151.101.128.223,TCP,63802,443,54,
14:45:50,151.101.128.223,192.168.1.36,TCP,443,63802,13122,oimT.;...h.q..9..........h9;.+
14:45:50,192.168.1.36,151.101.128.223,TCP,63802,443,54,
14:45:50,151.101.128.223,192.168.1.36,TCP,443,63802,2958,.H..zB.x..v.7..j.o[Z...4....78
14:45:50,192.168.1.36,151.101.128.223,TCP,63802,443,54,
14:45:50,151.101.128.223,192.168.1.36,TCP,443,63802,17478,...e..Q  ......;..L...n'......
14:45:50,151.101.128.223,192.168.1.36,TCP,443,63802,60,
14:45:50,151.101.128.223,192.168.1.36,TCP,443,63802,46518,Q...JD.m.Ri..n0.r.%...>N...j.(
14:45:50,151.101.128.223,192.168.1.36,TCP,443,63802,1506,....G7..u..s@.6.O........].U..
14:45:50,192.168.1.36,151.101.128.223,TCP,63802,443,66,
14:45:50,151.101.128.223,192.168.1.36,TCP,443,63802,27642,.).&@TZ..~T....e.g..=.5..\....
14:45:50,192.168.1.36,151.101.128.223,TCP,63802,443,54,
14:45:50,151.101.128.223,192.168.1.36,TCP,443,63802,661,"..i'"".i.*.s..&.j..^.U.4q!`..QL"
14:45:50,192.168.1.36,151.101.128.223,TCP,63802,443,54,
14:45:50,192.168.1.1,224.0.0.1,OTHER,-,-,50,.d.}........
14:45:50,192.168.1.36,151.101.128.223,TCP,63802,443,54,
14:45:50,151.101.128.223,192.168.1.36,TCP,443,63802,54,
14:45:50,151.101.128.223,192.168.1.36,TCP,443,63802,85,.................A1h[..._.l.N.
14:45:50,151.101.128.223,192.168.1.36,TCP,443,63802,54,
14:45:50,151.101.128.223,192.168.1.36,TCP,443,63802,54,
14:45:50,192.168.1.36,151.101.128.223,TCP,63802,443,54,
14:45:52,192.168.1.41,224.0.0.22,OTHER,-,-,54,"""..............."
14:45:54,172.217.117.4,192.168.1.36,TCP,443,54676,175,"....to.......I...K..j./...l."";"
14:45:54,192.168.1.36,172.217.117.4,TCP,54676,443,54,
14:45:54,192.168.1.36,224.0.0.22,OTHER,-,-,54,"""..............."
14:45:57,192.168.1.42,224.0.0.22,OTHER,-,-,54,"""..............."
14:45:57,192.168.1.36,224.0.0.22,OTHER,-,-,62,"""......................."
14:45:59,192.168.1.45,224.0.0.22,OTHER,-,-,54,"""..............."
14:46:00,172.64.148.235,192.168.1.36,TCP,443,58576,78,.....b..K.[*...[8.....{x
14:46:00,192.168.1.36,172.64.148.235,TCP,58576,443,82,.....6D7 ......dub?...R!....
14:46:00,172.64.148.235,192.168.1.36,TCP,443,58576,60,
14:46:02,192.168.1.36,192.178.158.188,TCP,54431,5228,55,.
14:46:02,192.178.158.188,192.168.1.36,TCP,5228,54431,66,
14:46:02,192.168.1.36,104.26.0.214,TCP,62790,443,116,....9A............D..5UG&....s
14:46:02,192.168.1.36,104.26.0.214,TCP,62790,443,93,"....""..Om...[TA...$..I....GQ}K"
14:46:02,104.26.0.214,192.168.1.36,TCP,443,62790,60,
14:46:02,104.26.0.214,192.168.1.36,TCP,443,62790,60,
14:46:02,104.26.0.214,192.168.1.36,TCP,443,62790,93,"....""!q.TC.""@*....o.R.A."".&.R."
14:46:02,192.168.1.36,104.26.0.214,TCP,62790,443,54,
14:46:02,192.168.1.36,172.66.172.247,UDP,55899,443,1292,........?. .}...D...g..7Wy..o.
14:46:02,192.168.1.36,172.66.172.247,UDP,55899,443,1292,........?. .}...D.[.%........4
14:46:02,192.168.1.36,172.66.172.247,UDP,55899,443,123,"........?. .}..@@..,.........k"
14:46:02,192.168.1.36,172.66.172.247,UDP,55899,443,526,........?. .}..A.=........f...
14:46:02,172.66.172.247,192.168.1.36,UDP,443,55899,1242,..........<.?.*..4<.>V*.^j..@.
14:46:02,172.66.172.247,192.168.1.36,UDP,443,55899,1242,..........<.?.*..4<.>V*.^j..D.
14:46:02,172.66.172.247,192.168.1.36,UDP,443,55899,1242,..........<.?.*..4<.>V*.^j..@?
14:46:02,172.66.172.247,192.168.1.36,UDP,443,55899,89,M]\.^....{........?yY..2.)....
14:46:02,172.66.172.247,192.168.1.36,UDP,443,55899,66,K...;..j.....!....\..K..
14:46:02,172.66.172.247,192.168.1.36,UDP,443,55899,66,"K...d....4..""A....e.Y..E"
14:46:02,172.66.172.247,192.168.1.36,UDP,443,55899,91,N....%..!..(.k.....kS.......z=
14:46:02,192.168.1.36,172.66.172.247,UDP,55899,443,1292,.........<.?.*..4<.>V*.^j...Dj
14:46:02,192.168.1.36,172.66.172.247,UDP,55899,443,85,X...<.?.*..4<.>V*.^j.KgLm....b
14:46:02,192.168.1.36,172.66.172.247,UDP,55899,443,85,A...<.?.*..4<.>V*.^j....3}...r
14:46:02,192.168.1.36,172.66.172.247,UDP,55899,443,89,[...<.?.*..4<.>V*.^j...6...c..
14:46:02,192.168.1.36,52.107.253.111,TCP,63803,443,66,
14:46:02,172.66.172.247,192.168.1.36,UDP,443,55899,71,T...........-..Q.w.i#K.....{.
14:46:02,192.168.1.36,51.132.193.105,TCP,63795,443,508,.....v....+...G.k....d.....tpd
14:46:02,192.168.1.36,51.132.193.105,TCP,63795,443,1432,....]L.f.0.......-4s;.a.../.F.
14:46:02,192.168.1.36,8.8.4.4,UDP,60373,443,1292,.........6...R.@F..R.@..h.....
14:46:02,192.168.1.36,8.8.4.4,UDP,60373,443,1292,.........6...R.@F..R.@..h.....
14:46:02,192.168.1.36,8.8.4.4,UDP,60373,443,1292,.........6...R.@F..R.@..h.....
14:46:02,192.168.1.36,8.8.4.4,UDP,60373,443,120,.........6...R.@=Q..B....c....
14:46:02,192.168.1.36,8.8.4.4,UDP,60373,443,304,.........6...R.@.:.`...y.....F
14:46:02,192.168.1.36,8.8.4.4,UDP,60373,443,259,".........6...R.@.o..""....;.?.."
14:46:02,192.168.1.36,172.66.172.247,UDP,55899,443,86,W...<.?.*..4<.>V*.^j...b..7...
14:46:02,8.8.4.4,192.168.1.36,UDP,443,60373,82,..........6...R.@.:..'l...2..B
14:46:02,8.8.4.4,192.168.1.36,UDP,443,60373,82,..........6...R.@.....a...c...
14:46:02,8.8.4.4,192.168.1.36,UDP,443,60373,1292,..........6...R.D.....2Q..2>.p
14:46:02,8.8.4.4,192.168.1.36,UDP,443,60373,1292,..........6...R.D.R....#.0Os.4
14:46:02,8.8.4.4,192.168.1.36,UDP,443,60373,1292,..........6...R.D.2.^>.....F..
14:46:02,8.8.4.4,192.168.1.36,UDP,443,60373,328,..........6...R@.....R.\*.v...
14:46:02,8.8.4.4,192.168.1.36,UDP,443,60373,976,I.1i..^#/!`...c....D6.os....g.
14:46:02,8.8.4.4,192.168.1.36,UDP,443,60373,67,R%Xb..a.1:..aI]...Y.lV...
14:46:02,192.168.1.36,8.8.4.4,UDP,60373,443,120,.........6...R.@=..0.j.&D.....
14:46:02,192.168.1.36,8.8.4.4,UDP,60373,443,73,^...6...R..>.CO.JV.c#|...V.8..
14:46:02,52.107.253.111,192.168.1.36,TCP,443,63803,66,
14:46:02,192.168.1.36,52.107.253.111,TCP,63803,443,54,
14:46:02,192.168.1.36,52.107.253.111,TCP,63803,443,998,...........R.....HS..9.......]
14:46:02,172.66.172.247,192.168.1.36,UDP,443,55899,67,J`..c.......gj..{.%.uc^..
14:46:02,8.8.4.4,192.168.1.36,UDP,443,60373,162,]..u.A.....7r....<Auy..^a..r..
14:46:02,8.8.4.4,192.168.1.36,UDP,443,60373,749,G2.X..C#EC..l....oG<..?..s.OL.
14:46:02,192.168.1.36,8.8.4.4,UDP,60373,443,77,@...6...Rv.J.........b.*.X:...
14:46:02,192.168.1.36,172.66.172.247,UDP,55899,443,86,T...<.?.*..4<.>V*.^j.2 x.G....
14:46:02,8.8.4.4,192.168.1.36,UDP,443,60373,571,OW+.z...`..[dU.?.tN....+!.H...
14:46:02,8.8.4.4,192.168.1.36,UDP,443,60373,64,DE..a1..1....6o.o....g
14:46:02,8.8.4.4,192.168.1.36,UDP,443,60373,65,B..k.B\u..I.l......n.Op
14:46:02,192.168.1.36,8.8.4.4,UDP,60373,443,77,K...6...R..+]K..P(.......?p.z.
14:46:02,192.168.1.36,96.17.168.136,TCP,57279,443,66,
14:46:02,52.107.253.111,192.168.1.36,TCP,443,63803,342,.............n%.........d-....
14:46:02,192.168.1.36,52.107.253.111,TCP,63803,443,134,..........EC........{.......r^
14:46:02,192.168.1.36,52.107.253.111,TCP,63803,443,1506,"........W....}...^Q.....H,..r<"
14:46:02,192.168.1.36,52.107.253.111,TCP,63803,443,1213,...H.0....{$......x..._..xU1..
14:46:02,96.17.168.136,192.168.1.36,TCP,443,57279,66,
14:46:02,192.168.1.36,96.17.168.136,TCP,57279,443,54,
14:46:02,192.168.1.36,96.17.168.136,TCP,57279,443,1438,"........|../......A..a....V"".."
14:46:02,192.168.1.36,96.17.168.136,TCP,57279,443,851,"....uD....w..zq.,9p..O..v..{.6"
14:46:02,8.8.4.4,192.168.1.36,UDP,443,60373,65,H...D.>.D_.j..D.g..vO5;
14:46:02,192.168.1.36,96.17.168.136,TCP,57279,443,1438,.....54...m..............._XI8
14:46:02,104.26.0.214,192.168.1.36,TCP,443,62790,461,.....IPZ..<..n..][G..t7.t..v..
14:46:02,104.26.0.214,192.168.1.36,TCP,443,62790,114,....79:..[..{...u*.E.5x.?.+A.N
14:46:02,104.26.0.214,192.168.1.36,TCP,443,62790,85,......oP..CAX..Ol.......b...x.
14:46:02,96.17.168.136,192.168.1.36,TCP,443,57279,60,
14:46:02,96.17.168.136,192.168.1.36,TCP,443,57279,324,........|.....b{D....w76.._..{
14:46:02,51.132.193.105,192.168.1.36,TCP,443,63795,60,
14:46:02,51.132.193.105,192.168.1.36,TCP,443,63795,499,.......8j..).......B.m.......K
14:46:02,52.107.253.111,192.168.1.36,TCP,443,63803,529,".........n=d."".[.......-.4.T.."
14:46:02,52.107.253.111,192.168.1.36,TCP,443,63803,60,
14:46:02,52.107.253.111,192.168.1.36,TCP,443,63803,60,
14:46:02,192.168.1.36,104.26.0.214,TCP,62790,443,54,
14:46:02,192.168.1.36,51.132.193.105,TCP,63795,443,54,
14:46:02,192.168.1.36,96.17.168.136,TCP,57279,443,134,..........Eq....^..8.-..1..w&v
14:46:02,192.168.1.36,96.17.168.136,TCP,57279,443,570,".....d."".|...n+........92....."
14:46:02,192.168.1.36,104.26.0.214,TCP,62790,443,89,.........p.............}Y.>...
14:46:02,172.66.172.247,192.168.1.36,UDP,443,55899,333,DS....k....:;.~.7<O.+{.....|p.
14:46:02,96.17.168.136,192.168.1.36,TCP,443,57279,66,
14:46:02,192.168.1.36,52.107.253.111,TCP,63803,443,54,
14:46:02,96.17.168.136,192.168.1.36,TCP,443,57279,60,
14:46:02,96.17.168.136,192.168.1.36,TCP,443,57279,60,
14:46:02,96.17.168.136,192.168.1.36,TCP,443,57279,373,....:........J8.A..i..........
14:46:02,96.17.168.136,192.168.1.36,TCP,443,57279,520,.........^?._.6..@.-..q.l.8K-k
